,,,,,,,,
,ID точки,Дата,Входящий остаток (остаток на начало дня),Снятие (выдача наличных клиентам) ,Внесение (депозиты клиентов),Подкрепление (подкрепление отделения / загрузка банкомата службой инкассации),Вывоз (инкассация отделения / разгрузка банкомата),Исходящий остаток (остаток на конец дня)
,Банкомат_1,01.01.2018,3960000,166600,65000,0,0,3858400
,Банкомат_1,02.01.2018,3858400,146600,25000,0,0,3736800
,Банкомат_1,03.01.2018,3736800,141900,72000,0,0,3666900
,Банкомат_1,04.01.2018,3666900,110800,56000,0,0,3612100
,Банкомат_1,05.01.2018,3612100,83100,74000,0,0,3603000
,Банкомат_1,06.01.2018,3603000,100800,84000,0,0,3586200
,Банкомат_1,07.01.2018,3586200,93300,71000,0,0,3563900
,Банкомат_1,08.01.2018,3563900,108800,90000,0,0,3545100
,Банкомат_1,09.01.2018,3545100,166300,77000,0,0,3455800
,Банкомат_1,10.01.2018,3455800,191800,27000,0,0,3291000
,Банкомат_1,11.01.2018,3291000,164400,41000,0,0,3167600
,Банкомат_1,12.01.2018,3167600,197900,70000,0,0,3039700
,Банкомат_1,13.01.2018,3039700,190700,29000,0,0,2878000
,Банкомат_1,14.01.2018,2878000,101700,61000,0,0,2837300
,Банкомат_1,15.01.2018,2837300,85500,79000,0,0,2830800
,Банкомат_1,16.01.2018,2830800,111800,71000,0,0,2790000
,Банкомат_1,17.01.2018,2790000,107800,6000,0,0,2688200
,Банкомат_1,18.01.2018,2688200,98700,15000,0,0,2604500
,Банкомат_1,19.01.2018,2604500,89600,100000,0,0,2614900
,Банкомат_1,20.01.2018,2614900,86400,54000,0,0,2582500
,Банкомат_1,21.01.2018,2582500,92600,88000,0,0,2577900
,Банкомат_1,22.01.2018,2577900,87700,26000,0,0,2516200
,Банкомат_1,23.01.2018,2516200,98000,58000,0,0,2476200
,Банкомат_1,24.01.2018,2476200,88700,17000,0,0,2404500
,Банкомат_1,25.01.2018,2404500,84100,34000,0,0,2354400
,Банкомат_1,26.01.2018,2354400,80000,36000,0,0,2310400
,Банкомат_1,27.01.2018,2310400,86300,57000,0,0,2281100
,Банкомат_1,28.01.2018,2281100,94000,57000,0,0,2244100
,Банкомат_1,29.01.2018,2244100,87000,76000,0,0,2233100
,Банкомат_1,30.01.2018,2233100,94400,61000,0,0,2199700
,Банкомат_1,31.01.2018,2199700,106400,72000,0,0,2165300
,Банкомат_1,01.02.2018,2165300,162900,44000,0,0,2046400
,Банкомат_1,02.02.2018,2046400,193900,34000,0,0,1886500
,Банкомат_1,03.02.2018,1886500,184200,10000,0,0,1712300
,Банкомат_1,04.02.2018,1712300,80100,52000,0,0,1684200
,Банкомат_1,05.02.2018,1684200,108400,7000,0,0,1582800
,Банкомат_1,06.02.2018,1582800,96700,20000,0,0,1506100
,Банкомат_1,07.02.2018,1506100,105600,93000,0,0,1493500
,Банкомат_1,08.02.2018,1493500,107500,78000,0,0,1464000
,Банкомат_1,09.02.2018,1464000,157400,26000,0,0,1332600
,Банкомат_1,10.02.2018,1332600,187800,13000,0,0,1157800
,Банкомат_1,11.02.2018,1157800,144900,78000,0,0,1090900
,Банкомат_1,12.02.2018,1090900,148300,58000,0,0,1000600
,Банкомат_1,13.02.2018,1000600,146900,53000,0,0,906700
,Банкомат_1,14.02.2018,906700,96400,21000,0,0,831300
,Банкомат_1,15.02.2018,831300,89600,35000,0,0,776700
,Банкомат_1,16.02.2018,776700,86400,82000,0,0,772300
,Банкомат_1,17.02.2018,772300,93000,58000,0,0,737300
,Банкомат_1,18.02.2018,737300,100200,72000,0,0,709100
,Банкомат_1,19.02.2018,709100,102600,49000,0,0,655500
,Банкомат_1,20.02.2018,655500,104700,85000,0,0,635800
,Банкомат_1,21.02.2018,635800,87900,34000,0,0,581900
,Банкомат_1,22.02.2018,581900,107200,69000,0,0,543700
,Банкомат_1,23.02.2018,543700,97100,29000,0,0,475600
,Банкомат_1,24.02.2018,475600,101500,78000,0,0,452100
,Банкомат_1,25.02.2018,452100,95700,94000,0,0,450400
,Банкомат_1,26.02.2018,450400,85700,24000,0,0,388700
,Банкомат_1,27.02.2018,388700,99600,37000,0,0,326100
,Банкомат_1,28.02.2018,326100,97500,41000,0,0,269600
,Банкомат_1,01.03.2018,269600,148900,48000,4000000,269600,3899100
,Банкомат_1,02.03.2018,3899100,197900,42000,0,0,3743200
,Банкомат_1,03.03.2018,3743200,170900,29000,0,0,3601300
,Банкомат_1,04.03.2018,3601300,83800,9000,0,0,3526500
,Банкомат_1,05.03.2018,3526500,86800,6000,0,0,3445700
,Банкомат_1,06.03.2018,3445700,111100,94000,0,0,3428600
,Банкомат_1,07.03.2018,3428600,105100,39000,0,0,3362500
,Банкомат_1,08.03.2018,3362500,108300,69000,0,0,3323200
,Банкомат_1,09.03.2018,3323200,182500,14000,0,0,3154700
,Банкомат_1,10.03.2018,3154700,149900,90000,0,0,3094800
,Банкомат_1,11.03.2018,3094800,151700,25000,0,0,2968100
,Банкомат_1,12.03.2018,2968100,153800,93000,0,0,2907300
,Банкомат_1,13.03.2018,2907300,193400,40000,0,0,2753900
,Банкомат_1,14.03.2018,2753900,83200,29000,0,0,2699700
,Банкомат_1,15.03.2018,2699700,81400,21000,0,0,2639300
,Банкомат_1,16.03.2018,2639300,107100,22000,0,0,2554200
,Банкомат_1,17.03.2018,2554200,90400,36000,0,0,2499800
,Банкомат_1,18.03.2018,2499800,95400,95000,0,0,2499400
,Банкомат_1,19.03.2018,2499400,101700,26000,0,0,2423700
,Банкомат_1,20.03.2018,2423700,96100,16000,0,0,2343600
,Банкомат_1,21.03.2018,2343600,102600,16000,0,0,2257000
,Банкомат_1,22.03.2018,2257000,91700,23000,0,0,2188300
,Банкомат_1,23.03.2018,2188300,96700,31000,0,0,2122600
,Банкомат_1,24.03.2018,2122600,107000,53000,0,0,2068600
,Банкомат_1,25.03.2018,2068600,80100,74000,0,0,2062500
,Банкомат_1,26.03.2018,2062500,80100,70000,0,0,2052400
,Банкомат_1,27.03.2018,2052400,102100,15000,0,0,1965300
,Банкомат_1,28.03.2018,1965300,98600,85000,0,0,1951700
,Банкомат_1,29.03.2018,1951700,95400,66000,0,0,1922300
,Банкомат_1,30.03.2018,1922300,99400,83000,0,0,1905900
,Банкомат_1,31.03.2018,1905900,90400,37000,0,0,1852500
,Банкомат_1,01.04.2018,1852500,190400,56000,0,0,1718100
,Банкомат_1,02.04.2018,1718100,195700,26000,0,0,1548400
,Банкомат_1,03.04.2018,1548400,195300,70000,0,0,1423100
,Банкомат_1,04.04.2018,1423100,95000,68000,0,0,1396100
,Банкомат_1,05.04.2018,1396100,88200,17000,0,0,1324900
,Банкомат_1,06.04.2018,1324900,97800,80000,0,0,1307100
,Банкомат_1,07.04.2018,1307100,100700,25000,0,0,1231400
,Банкомат_1,08.04.2018,1231400,109900,19000,0,0,1140500
,Банкомат_1,09.04.2018,1140500,143200,50000,0,0,1047300
,Банкомат_1,10.04.2018,1047300,179900,66000,0,0,933400
,Банкомат_1,11.04.2018,933400,154000,49000,0,0,828400
,Банкомат_1,12.04.2018,828400,172300,10000,0,0,666100
,Банкомат_1,13.04.2018,666100,177000,82000,0,0,571100
,Банкомат_1,14.04.2018,571100,96700,75000,0,0,549400
,Банкомат_1,15.04.2018,549400,85000,9000,0,0,473400
,Банкомат_1,16.04.2018,473400,84200,65000,0,0,454200
,Банкомат_1,17.04.2018,454200,107400,49000,0,0,395800
,Банкомат_1,18.04.2018,395800,104500,97000,0,0,388300
,Банкомат_1,19.04.2018,388300,100700,45000,0,0,332600
,Банкомат_1,20.04.2018,332600,92300,5000,0,0,245300
,Банкомат_1,21.04.2018,245300,104900,60000,4000000,245300,3955100
,Банкомат_1,22.04.2018,3955100,94700,68000,0,0,3928400
,Банкомат_1,23.04.2018,3928400,81000,94000,0,0,3941400
,Банкомат_1,24.04.2018,3941400,98200,21000,0,0,3864200
,Банкомат_1,25.04.2018,3864200,90200,69000,0,0,3843000
,Банкомат_1,26.04.2018,3843000,101500,5000,0,0,3746500
,Банкомат_1,27.04.2018,3746500,111200,93000,0,0,3728300
,Банкомат_1,28.04.2018,3728300,109500,35000,0,0,3653800
,Банкомат_1,29.04.2018,3653800,97300,94000,0,0,3650500
,Банкомат_1,30.04.2018,3650500,108700,30000,0,0,3571800
,Банкомат_1,01.05.2018,3571800,163100,14000,0,0,3422700
,Банкомат_1,02.05.2018,3422700,172300,91000,0,0,3341400
